Model,Accuracy,F1_Micro,F1_Macro,F1_Weighted
Softmax Baseline (class_weight='balanced'),0.6478,0.6478,0.426,0.7213
Softmax Balanced (SMOTE),0.6433,0.6433,0.4242,0.7189
